game_date,away_team,home_team,result
2026-07-01,롯데,두산,롯데승
2026-07-01,SSG,KIA,무승부
2026-07-01,삼성,NC,NC승
2026-07-01,KT,한화,KT승
2026-07-01,LG,키움,LG승
2026-07-02,롯데,두산,두산승
2026-07-02,SSG,KIA,KIA승
2026-07-02,삼성,NC,삼성승
2026-07-02,KT,한화,한화승
2026-07-02,LG,키움,LG승
2026-07-03,한화,LG,한화승
2026-07-03,삼성,SSG,삼성승
2026-07-03,NC,KIA,NC승
2026-07-03,롯데,KT,롯데승
2026-07-03,두산,키움,키움승
2026-07-04,한화,LG,LG승
2026-07-04,삼성,SSG,삼성승
2026-07-04,NC,KIA,NC승
2026-07-04,롯데,KT,롯데승
2026-07-04,두산,키움,두산승
2026-07-05,두산,키움,예정
2026-07-05,한화,LG,예정
2026-07-05,삼성,SSG,예정
2026-07-05,NC,KIA,예정
2026-07-05,롯데,KT,예정
2026-07-07,SSG,두산,예정
2026-07-07,LG,삼성,예정
2026-07-07,KIA,롯데,예정
2026-07-07,키움,KT,예정
2026-07-07,NC,한화,예정
2026-07-08,SSG,두산,예정
2026-07-08,LG,삼성,예정
2026-07-08,KIA,롯데,예정
2026-07-08,키움,KT,예정
2026-07-08,NC,한화,예정
2026-07-09,SSG,두산,예정
2026-07-09,LG,삼성,예정
2026-07-09,KIA,롯데,예정
2026-07-09,키움,KT,예정
2026-07-09,NC,한화,예정
2026-07-16,KT,LG,예정
2026-07-16,롯데,삼성,예정
2026-07-16,KIA,SSG,예정
2026-07-16,두산,NC,예정
2026-07-16,키움,한화,예정
2026-07-17,KT,LG,예정
2026-07-17,롯데,삼성,예정
2026-07-17,KIA,SSG,예정
2026-07-17,두산,NC,예정
2026-07-17,키움,한화,예정
2026-07-18,KT,LG,예정
2026-07-18,롯데,삼성,예정
2026-07-18,KIA,SSG,예정
2026-07-18,두산,NC,예정
2026-07-18,키움,한화,예정
2026-07-19,KT,LG,예정
2026-07-19,롯데,삼성,예정
2026-07-19,KIA,SSG,예정
2026-07-19,두산,NC,예정
2026-07-19,키움,한화,예정
2026-07-21,NC,LG,예정
2026-07-21,SSG,롯데,예정
2026-07-21,한화,KIA,예정
2026-07-21,두산,KT,예정
2026-07-21,삼성,키움,예정
2026-07-22,NC,LG,예정
2026-07-22,SSG,롯데,예정
2026-07-22,한화,KIA,예정
2026-07-22,두산,KT,예정
2026-07-22,삼성,키움,예정
2026-07-23,NC,LG,예정
2026-07-23,SSG,롯데,예정
2026-07-23,한화,KIA,예정
2026-07-23,두산,KT,예정
2026-07-23,삼성,키움,예정
2026-07-24,삼성,두산,예정
2026-07-24,KT,롯데,예정
2026-07-24,NC,SSG,예정
2026-07-24,키움,KIA,예정
2026-07-24,LG,한화,예정
2026-07-25,삼성,두산,예정
2026-07-25,KT,롯데,예정
2026-07-25,NC,SSG,예정
2026-07-25,키움,KIA,예정
2026-07-25,LG,한화,예정
2026-07-26,삼성,두산,예정
2026-07-26,KT,롯데,예정
2026-07-26,NC,SSG,예정
2026-07-26,키움,KIA,예정
2026-07-26,LG,한화,예정
2026-07-28,키움,LG,예정
2026-07-28,KIA,삼성,예정
2026-07-28,두산,SSG,예정
2026-07-28,KT,NC,예정
2026-07-28,롯데,한화,예정
2026-07-29,키움,LG,예정
2026-07-29,KIA,삼성,예정
2026-07-29,두산,SSG,예정
2026-07-29,KT,NC,예정
2026-07-29,롯데,한화,예정
2026-07-30,키움,LG,예정
2026-07-30,KIA,삼성,예정
2026-07-30,두산,SSG,예정
2026-07-30,KT,NC,예정
2026-07-30,롯데,한화,예정
2026-07-31,LG,두산,예정
2026-07-31,삼성,롯데,예정
2026-07-31,한화,KT,예정
2026-07-31,KIA,NC,예정
2026-07-31,SSG,키움,예정
2026-08-01,LG,두산,예정
2026-08-01,삼성,롯데,예정
2026-08-01,한화,KT,예정
2026-08-01,KIA,NC,예정
2026-08-01,SSG,키움,예정
2026-08-02,SSG,키움,예정
2026-08-02,LG,두산,예정
2026-08-02,삼성,롯데,예정
2026-08-02,한화,KT,예정
2026-08-02,KIA,NC,예정
2026-08-04,NC,두산,예정
2026-08-04,한화,삼성,예정
2026-08-04,키움,롯데,예정
2026-08-04,LG,SSG,예정
2026-08-04,KT,KIA,예정
2026-08-05,NC,두산,예정
2026-08-05,한화,삼성,예정
2026-08-05,키움,롯데,예정
2026-08-05,LG,SSG,예정
2026-08-05,KT,KIA,예정
2026-08-06,NC,두산,예정
2026-08-06,한화,삼성,예정
2026-08-06,키움,롯데,예정
2026-08-06,LG,SSG,예정
2026-08-06,KT,KIA,예정
2026-08-07,KIA,LG,예정
2026-08-07,두산,삼성,예정
2026-08-07,롯데,KT,예정
2026-08-07,SSG,NC,예정
2026-08-07,키움,한화,예정
2026-08-08,KIA,LG,예정
2026-08-08,두산,삼성,예정
2026-08-08,롯데,KT,예정
2026-08-08,SSG,NC,예정
2026-08-08,키움,한화,예정
2026-08-09,KIA,LG,예정
2026-08-09,두산,삼성,예정
2026-08-09,롯데,KT,예정
2026-08-09,SSG,NC,예정
2026-08-09,키움,한화,예정
2026-08-11,한화,두산,예정
2026-08-11,롯데,SSG,예정
2026-08-11,삼성,KIA,예정
2026-08-11,KT,NC,예정
2026-08-11,LG,키움,예정
2026-08-12,한화,두산,예정
2026-08-12,롯데,SSG,예정
2026-08-12,삼성,KIA,예정
2026-08-12,KT,NC,예정
2026-08-12,LG,키움,예정
2026-08-13,한화,두산,예정
2026-08-13,롯데,SSG,예정
2026-08-13,삼성,KIA,예정
2026-08-13,KT,NC,예정
2026-08-13,LG,키움,예정
2026-08-14,SSG,LG,예정
2026-08-14,한화,삼성,예정
2026-08-14,NC,롯데,예정
2026-08-14,두산,KIA,예정
2026-08-14,키움,KT,예정
2026-08-15,SSG,LG,예정
2026-08-15,한화,삼성,예정
2026-08-15,NC,롯데,예정
2026-08-15,두산,KIA,예정
2026-08-15,키움,KT,예정
2026-08-16,SSG,LG,예정
2026-08-16,한화,삼성,예정
2026-08-16,NC,롯데,예정
2026-08-16,두산,KIA,예정
2026-08-16,키움,KT,예정
2026-08-18,KT,LG,예정
2026-08-18,SSG,삼성,예정
2026-08-18,키움,롯데,예정
2026-08-18,두산,NC,예정
2026-08-18,KIA,한화,예정
2026-08-19,KT,LG,예정
2026-08-19,SSG,삼성,예정
2026-08-19,키움,롯데,예정
2026-08-19,두산,NC,예정
2026-08-19,KIA,한화,예정
2026-08-20,KT,LG,예정
2026-08-20,SSG,삼성,예정
2026-08-20,키움,롯데,예정
2026-08-20,두산,NC,예정
2026-08-20,KIA,한화,예정
2026-08-21,롯데,두산,예정
2026-08-21,KT,SSG,예정
2026-08-21,삼성,NC,예정
2026-08-21,LG,한화,예정
2026-08-21,KIA,키움,예정
2026-08-22,롯데,두산,예정
2026-08-22,KT,SSG,예정
2026-08-22,삼성,NC,예정
2026-08-22,LG,한화,예정
2026-08-22,KIA,키움,예정
2026-08-23,KIA,키움,예정
2026-08-23,롯데,두산,예정
2026-08-23,KT,SSG,예정
2026-08-23,삼성,NC,예정
2026-08-23,LG,한화,예정
2026-08-25,NC,LG,예정
2026-08-25,한화,SSG,예정
2026-08-25,롯데,KIA,예정
2026-08-25,두산,KT,예정
2026-08-25,삼성,키움,예정
2026-08-26,NC,LG,예정
2026-08-26,한화,SSG,예정
2026-08-26,롯데,KIA,예정
2026-08-26,두산,KT,예정
2026-08-26,삼성,키움,예정
2026-08-27,NC,LG,예정
2026-08-27,한화,SSG,예정
2026-08-27,롯데,KIA,예정
2026-08-27,두산,KT,예정
2026-08-27,삼성,키움,예정
2026-08-28,키움,두산,예정
2026-08-28,KT,삼성,예정
2026-08-28,LG,롯데,예정
2026-08-28,SSG,KIA,예정
2026-08-28,NC,한화,예정
2026-08-29,키움,두산,예정
2026-08-29,KT,삼성,예정
2026-08-29,LG,롯데,예정
2026-08-29,SSG,KIA,예정
2026-08-29,NC,한화,예정
2026-08-30,키움,두산,예정
2026-08-30,KT,삼성,예정
2026-08-30,LG,롯데,예정
2026-08-30,SSG,KIA,예정
2026-08-30,NC,한화,예정
2026-09-01,LG,두산,예정
2026-09-01,롯데,삼성,예정
2026-09-01,한화,KT,예정
2026-09-01,KIA,NC,예정
2026-09-01,SSG,키움,예정
2026-09-02,LG,두산,예정
2026-09-02,롯데,삼성,예정
2026-09-02,한화,KT,예정
2026-09-02,KIA,NC,예정
2026-09-02,SSG,키움,예정
2026-09-03,LG,두산,예정
2026-09-03,롯데,삼성,예정
2026-09-03,한화,KT,예정
2026-09-03,KIA,NC,예정
2026-09-03,SSG,키움,예정
2026-09-04,삼성,LG,예정
2026-09-04,한화,롯데,예정
2026-09-04,두산,SSG,예정
2026-09-04,KT,KIA,예정
2026-09-04,NC,키움,예정
2026-09-05,삼성,LG,예정
2026-09-05,한화,롯데,예정
2026-09-05,두산,SSG,예정
2026-09-05,KT,KIA,예정
2026-09-05,NC,키움,예정
2026-09-06,삼성,LG,예정
2026-09-06,한화,롯데,예정
2026-09-06,두산,SSG,예정
2026-09-06,KT,KIA,예정
2026-09-06,NC,키움,예정
